Sl.No.,BO_MFClientID,DOB,InvestType,Paymentmode,FundType,MFNo,MFInvestment,Tenure,TenureInDays,Gender,ADDITIONALPRODUCTSPURCHASED,RFMID,Brokerage_Per_Day,Status
16,96958,00:00.0,LUMSUM,CHEQUE,NFO,10,1681016.557,162076,16207,M,Y,153,103.7216362,Continuing
17,13377,00:00.0,SIP,CHEQUE,ONGOING,3,131745.709,9354,3118,M,Y,152,42.25327421,Continuing
18,9123,00:00.0,SIP,CHEQUE,ONGOING,11,1463706.646,2063442,187585,M,Y,522,7.802898133,Completed
19,105141,00:00.0,LUMSUM,CHEQUE,ONGOING,9,577859.7618,298410,33156,M,Y,422,17.42851254,Continuing
20,2606,00:00.0,LUMSUM,CHEQUE,ONGOING,10,1403542.646,274924,27492,M,Y,215,51.05276611,Continuing
21,26528,00:00.0,SIP,CHEQUE,ONGOING,3,164556.2239,69626,23208,M,Y,323,7.090495687,Continuing
22,540020,00:00.0,SIP,CHEQUE,ONGOING,2,1645846.381,60445,30222,M,Y,152,54.45855276,Continuing
23,8819,00:00.0,SIP,CHEQUE,ONGOING,6,365832.5901,391548,65258,M,Y,113,5.605942415,Completed
24,163274,00:00.0,SIP,CHEQUE,ONGOING,1,9550.5753,13222,13222,M,N,425,0.722324558,Continuing
25,198047,00:00.0,SIP,CHEQUE,ONGOING,3,938228.7657,63851,21283,F,N,152,44.08348286,Continuing
26,162731,00:00.0,SIP,CHEQUE,ONGOING,1,139840.4441,382171,382171,M,Y,522,0.365910663,Completed
27,64926,00:00.0,LUMSUM,CHEQUE,ONGOING,1,4682.1168,3892,3892,M,Y,533,1.203010483,Continuing
28,130852,00:00.0,SIP,CHEQUE,ONGOING,13,21510757.85,2972844,228680,M,Y,152,94.06488477,Completed
29,130853,00:00.0,SIP,CHEQUE,ONGOING,1,3386.976,1220,1220,M,Y,121,2.776209836,Continuing
30,130861,00:00.0,SIP,CHEQUE,ONGOING,1,167239.9611,55836,55836,M,N,151,2.995199533,Continuing
31,130864,00:00.0,SIP,CHEQUE,ONGOING,7,1411836.576,574190,82027,M,Y,524,17.2118519,Completed
32,130866,00:00.0,SIP,CHEQUE,ONGOING,3,227167.0189,548318,182772,M,N,151,1.242898359,Completed
33,130868,00:00.0,SIP,CHEQUE,ONGOING,6,8484877.861,794637,132439,F,Y,152,64.06630872,Completed
34,130870,00:00.0,LUMSUM,CHEQUE,ONGOING,2,55314.2082,76649,38324,F,N,151,1.443330764,Continuing
35,130873,00:00.0,SIP,CHEQUE,ONGOING,8,3003270.783,816960,102120,M,Y,152,29.40923211,Completed
36,130875,00:00.0,SIP,CHEQUE,ONGOING,1,6345.8998,34968,34968,M,N,141,0.181477345,Continuing
37,130876,00:00.0,SIP,CHEQUE,ONGOING,3,235482.2204,98888,32962,M,Y,133,7.144051344,Continuing
38,130878,00:00.0,SIP,CHEQUE,ONGOING,1,5090.1449,2005,2005,M,N,141,2.538725636,Continuing
39,130879,00:00.0,SIP,CHEQUE,ONGOING,8,327876.0788,377899,47237,M,Y,522,6.941085988,Continuing
40,130885,00:00.0,SIP,CHEQUE,ONGOING,2,108135.6172,146398,73199,F,N,151,1.477282712,Completed
41,130887,00:00.0,SIP,CHEQUE,ONGOING,1,0.0016,70316,70316,F,N,121,2.28E-08,Completed
42,130888,00:00.0,SIP,CHEQUE,ONGOING,2,39681.6505,160025,80012,M,Y,151,0.495946239,Completed
43,130889,00:00.0,SIP,CHEQUE,ONGOING,1,200446.299,3269,3269,M,N,152,61.31731386,Continuing
44,130890,00:00.0,SIP,CHEQUE,ONGOING,2,66017.9464,352201,176100,F,N,121,0.374888963,Completed
45,130891,00:00.0,SIP,CHEQUE,ONGOING,1,5321.7977,20794,20794,M,N,151,0.255929484,Continuing
46,130894,00:00.0,SIP,CHEQUE,ONGOING,3,213381.8911,272060,90686,M,N,151,2.352975003,Completed
47,130896,00:00.0,SIP,CHEQUE,ONGOING,2,7597.3222,2617,1308,M,Y,122,5.808350306,Continuing
48,130898,00:00.0,SIP,CHEQUE,ONGOING,1,1781.31,19421,19421,M,Y,532,0.091720818,Continuing
49,130901,00:00.0,SIP,CHEQUE,ONGOING,2,138078.534,100743,50371,M,Y,435,2.741230748,Continuing
50,130905,00:00.0,SIP,CHEQUE,ONGOING,2,25057.6834,20495,10247,F,Y,151,2.445367756,Continuing
51,130906,00:00.0,SIP,CHEQUE,ONGOING,1,159782.7749,75687,75687,M,N,111,2.111099329,Completed
52,131027,00:00.0,SIP,CHEQUE,ONGOING,1,3520.145,3780,3780,F,N,151,0.931255291,Continuing
53,131029,00:00.0,SIP,CHEQUE,ONGOING,6,1057431.253,701339,116889,F,N,151,9.046456489,Completed
54,131033,00:00.0,SIP,CHEQUE,ONGOING,5,262581.8469,432727,86545,M,Y,531,3.03404988,Completed
55,131037,00:00.0,SIP,CHEQUE,ONGOING,1,3713.7639,2006,2006,M,N,151,1.851327966,Continuing
56,131045,00:00.0,SIP,CHEQUE,ONGOING,2,181954.4588,24307,12153,M,N,151,14.97197884,Continuing
57,131047,00:00.0,SIP,CHEQUE,ONGOING,2,63100.5507,345786,172893,M,N,151,0.3649688,Completed
58,131051,00:00.0,SIP,CHEQUE,ONGOING,3,5552.1497,154728,51576,F,Y,221,0.10764987,Continuing
59,131052,00:00.0,LUMSUM,CHEQUE,ONGOING,1,0.0038,317046,317046,M,N,121,1.20E-08,Completed
60,131055,00:00.0,SIP,CHEQUE,ONGOING,1,17830.9599,59707,59707,M,Y,322,0.298641029,Continuing
61,131056,00:00.0,SIP,CHEQUE,ONGOING,1,3364.5377,37442,37442,M,N,131,0.089859989,Continuing
62,131059,00:00.0,SIP,CHEQUE,ONGOING,2,373763.205,348404,174202,M,N,151,2.145573558,Completed
63,131060,00:00.0,SIP,CHEQUE,ONGOING,4,1557524.908,514254,128563,M,Y,323,12.11487682,Completed
64,147113,00:00.0,SIP,CHEQUE,ONGOING,2,49733.1047,53347,26673,M,Y,111,1.864548596,Continuing
65,131071,00:00.0,SIP,CHEQUE,ONGOING,2,56586.9032,63557,31778,M,N,151,1.780694292,Continuing
66,131073,00:00.0,SIP,CHEQUE,ONGOING,6,374977.9433,364073,60678,M,N,151,6.179800641,Continuing
67,131076,00:00.0,LUMSUM,CHEQUE,ONGOING,1,0.0055,464530,464530,F,N,121,1.18E-08,Completed
68,131077,00:00.0,SIP,CHEQUE,ONGOING,1,65674.5395,7617,7617,M,N,151,8.622100499,Continuing
69,131079,00:00.0,SIP,CHEQUE,ONGOING,3,183664.2838,169025,56341,M,Y,422,3.259869079,Continuing
70,131081,00:00.0,SIP,CHEQUE,ONGOING,11,415649.0185,496391,45126,M,Y,523,9.210854463,Continuing
71,131092,00:00.0,SIP,CHEQUE,ONGOING,1,3326.4183,26768,26768,F,Y,221,0.124268466,Continuing
72,131094,00:00.0,LUMSUM,CHEQUE,ONGOING,4,1941540.325,234025,58506,F,N,152,33.18531988,Continuing
73,131098,00:00.0,LUMSUM,CHEQUE,ONGOING,3,80030.2746,16733,5577,F,Y,151,14.3500582,Continuing
74,131099,00:00.0,SIP,CHEQUE,ONGOING,1,66476.6138,77445,77445,M,N,132,0.858371926,Completed
75,131102,00:00.0,SIP,CHEQUE,ONGOING,14,799675.7671,354559,25325,F,Y,522,31.57653572,Continuing
76,131104,00:00.0,LUMSUM,CHEQUE,NFO,2,739436.7907,233323,116661,M,Y,423,6.338337497,Completed
77,131111,00:00.0,SIP,CHEQUE,ONGOING,3,66900.937,72483,24161,F,Y,422,2.768963909,Continuing
78,131112,00:00.0,SIP,CHEQUE,ONGOING,1,4073.6787,2031,2031,M,Y,322,2.005750222,Continuing
79,131114,00:00.0,SIP,CHEQUE,ONGOING,5,539509.2406,483697,96739,M,Y,232,5.576956973,Completed
80,131117,00:00.0,SIP,CHEQUE,ONGOING,11,1769132.655,373058,33914,M,N,152,52.16526082,Continuing
81,154135,00:00.0,SIP,CHEQUE,ONGOING,5,1740348.46,125325,25065,F,Y,423,69.43341151,Continuing
82,151990,00:00.0,LUMSUM,CHEQUE,ONGOING,1,40552.3193,28858,28858,F,Y,543,1.405236652,Continuing
83,159289,00:00.0,SIP,CHEQUE,ONGOING,7,580097.1676,344419,49202,M,Y,111,11.79011356,Continuing
84,131175,00:00.0,SIP,CHEQUE,ONGOING,1,1830.3824,2322,2322,M,N,121,0.788278381,Continuing
85,131176,00:00.0,SIP,CHEQUE,ONGOING,1,4158.95,2051,2051,F,N,151,2.027766943,Continuing
86,131180,00:00.0,SIP,CHEQUE,ONGOING,3,8445.9663,549233,183077,M,Y,434,0.04613341,Completed
87,131181,00:00.0,SIP,CHEQUE,ONGOING,4,171312.699,236951,59237,M,N,151,2.891988099,Continuing
88,131186,00:00.0,LUMSUM,CHEQUE,ONGOING,7,1004716.451,37405,5343,F,Y,112,188.0435057,Continuing
89,131187,00:00.0,SIP,CHEQUE,ONGOING,1,90843.7532,7522,7522,M,Y,125,12.07707434,Continuing
90,131189,00:00.0,SIP,CHEQUE,ONGOING,3,392043.1218,333063,111021,M,N,532,3.531251942,Completed
91,131191,00:00.0,SIP,CHEQUE,ONGOING,1,46549.4003,3901,3901,M,N,123,11.932684,Continuing
92,131193,00:00.0,SIP,CHEQUE,ONGOING,1,131213.3141,10308,10308,M,N,122,12.7292699,Continuing
93,131196,00:00.0,SIP,CHEQUE,ONGOING,1,162670.4844,12942,12942,F,Y,124,12.56919212,Continuing
94,131199,00:00.0,SIP,CHEQUE,ONGOING,1,135095.0655,161157,161157,M,N,151,0.83828233,Completed
95,131200,00:00.0,SIP,CHEQUE,ONGOING,1,66761.5271,4665,4665,M,Y,123,14.31115265,Continuing
96,131203,00:00.0,SIP,CHEQUE,ONGOING,3,233309.6216,160007,53335,M,Y,443,4.374418704,Continuing
97,131204,00:00.0,SIP,CHEQUE,ONGOING,2,18280.9105,299544,149772,M,N,141,0.122058265,Completed
98,131205,00:00.0,SIP,CHEQUE,ONGOING,1,13329.3847,27058,27058,M,N,151,0.492622688,Continuing
99,131206,00:00.0,SIP,CHEQUE,ONGOING,2,76396.6434,314479,157239,M,N,151,0.485863198,Completed
100,131209,00:00.0,SIP,CHEQUE,ONGOING,4,605447.5794,202087,50521,M,Y,523,11.9840775,Continuing
101,131210,00:00.0,LUMSUM,CHEQUE,ONGOING,7,1239550.999,499355,71336,F,N,151,17.37623358,Completed
102,131211,00:00.0,SIP,CHEQUE,ONGOING,3,1484049.701,521216,173738,M,Y,223,8.541883188,Completed
103,131212,00:00.0,SIP,CHEQUE,ONGOING,2,391676.0867,345625,172812,F,Y,123,2.266486625,Completed
104,131214,00:00.0,LUMSUM,CHEQUE,ONGOING,2,93904.9229,178687,89343,M,N,151,1.051060776,Completed
105,131217,00:00.0,SIP,CHEQUE,ONGOING,2,16914.0377,575062,287531,M,Y,552,0.058825093,Completed
106,131222,00:00.0,SIP,CHEQUE,ONGOING,3,195735.5843,515952,171984,M,N,225,1.138103453,Completed
107,133178,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,1,3226.2961,10037,10037,M,Y,122,0.321440281,Continuing
108,182193,00:00.0,LUMSUM,CHEQUE,ONGOING,3,208752.5537,157677,52559,M,Y,322,3.971775599,Continuing
109,131289,00:00.0,SIP,CHEQUE,ONGOING,7,222682.4625,493128,70446,M,N,151,3.16103771,Completed
110,164393,00:00.0,SIP,CHEQUE,ONGOING,2,78823.3961,7968,3984,F,Y,124,19.78498898,Continuing
111,131291,00:00.0,LUMSUM,CHEQUE,ONGOING,9,851351.199,98746,10971,F,Y,152,77.60014575,Continuing
112,163094,00:00.0,SIP,CHEQUE,ONGOING,2,21465.4459,152064,76032,F,N,151,0.282321206,Completed
113,131411,00:00.0,SIP,CHEQUE,ONGOING,2,10581.966,3953,1976,M,N,151,5.355245951,Continuing
114,131412,00:00.0,SIP,CHEQUE,ONGOING,1,171335.1242,71189,71189,M,Y,143,2.406764025,Completed
115,131413,00:00.0,SIP,CHEQUE,ONGOING,1,1878.72,17958,17958,M,Y,131,0.104617441,Continuing
116,131417,00:00.0,SIP,CHEQUE,ONGOING,1,47910.764,91662,91662,F,Y,151,0.52268949,Completed
117,131418,00:00.0,SIP,CHEQUE,ONGOING,1,19282.1407,92,92,F,Y,553,209.5884859,Continuing
118,131420,00:00.0,SIP,CHEQUE,ONGOING,1,13927.8407,15608,15608,M,Y,122,0.892352685,Continuing
119,131421,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,5,79804.9618,243609,48721,M,Y,545,1.637999257,Continuing
120,131424,00:00.0,SIP,CHEQUE,ONGOING,1,253263.2072,176034,176034,M,N,151,1.438717561,Completed
121,131426,00:00.0,SIP,CHEQUE,ONGOING,2,31143.4666,275328,137664,M,Y,151,0.22622811,Completed
122,131427,00:00.0,SIP,CHEQUE,ONGOING,1,660.6413,11472,11472,M,N,131,0.057587282,Continuing
123,131430,00:00.0,SIP,CHEQUE,ONGOING,2,484188.7331,164593,82296,M,N,151,5.883502638,Completed
124,131435,00:00.0,SIP,CHEQUE,ONGOING,3,86451.3663,396230,132076,M,Y,221,0.654557727,Completed
125,131438,00:00.0,SIP,CHEQUE,ONGOING,1,8783.2091,1277,1277,F,N,251,6.878002428,Continuing
126,131444,00:00.0,SIP,CHEQUE,ONGOING,3,961462.6816,495862,165287,M,Y,123,5.816928625,Completed
127,131446,00:00.0,LUMSUM,CHEQUE,ONGOING,1,19924.6649,3675,3675,M,N,151,5.421677524,Continuing
128,131447,00:00.0,SIP,CHEQUE,ONGOING,9,1649325.986,772129,85792,M,Y,132,19.2247061,Completed
129,131449,00:00.0,SIP,CHEQUE,ONGOING,7,6798860.119,912796,130399,F,N,152,52.13889769,Completed
130,131452,00:00.0,LUMSUM,CHEQUE,NFO,10,846019.5334,293668,29366,F,N,152,28.8094917,Continuing
131,145605,1899-12-30 00:00:00.000,LUMSUM,CHEQUE,ONGOING,12,1079172.905,155320,12943,M,Y,533,83.37888472,Continuing
132,163193,00:00.0,SIP,CHEQUE,ONGOING,1,4563.1178,32360,32360,M,Y,153,0.141011057,Continuing
133,152262,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,1,17422.5314,19693,19693,M,N,122,0.88470682,Continuing
134,131469,00:00.0,SIP,CHEQUE,ONGOING,2,204590.4434,174798,87399,M,N,322,2.340878539,Completed
135,131471,00:00.0,SIP,CHEQUE,NFO,1,138543.5865,166123,166123,M,N,131,0.833981968,Completed
136,131478,00:00.0,SIP,CHEQUE,ONGOING,4,1022473.473,419468,104867,M,N,151,9.750192848,Completed
137,131498,00:00.0,SIP,CHEQUE,ONGOING,1,2919.6165,15011,15011,M,N,141,0.194498468,Continuing
138,131500,00:00.0,SIP,CHEQUE,ONGOING,1,4849.2135,1327,1327,M,Y,251,3.654267898,Continuing
139,131502,00:00.0,SIP,CHEQUE,ONGOING,12,2621745.327,1518789,126565,M,Y,525,20.71461562,Completed
140,131503,00:00.0,SIP,CHEQUE,ONGOING,4,72363.6743,197878,49469,M,N,151,1.462808512,Continuing
141,131504,00:00.0,SIP,CHEQUE,ONGOING,2,124.0557,28573,14286,M,N,121,0.008683725,Continuing
142,131505,00:00.0,SIP,CHEQUE,ONGOING,1,29992.0223,178128,178128,F,N,141,0.16837343,Completed
143,131508,00:00.0,SIP,CHEQUE,ONGOING,1,37172.2941,13210,13210,M,N,151,2.813951105,Continuing
144,131509,00:00.0,SIP,CHEQUE,ONGOING,1,3941.7842,2002,2002,M,N,111,1.968923177,Continuing
145,131515,00:00.0,LUMSUM,CHEQUE,ONGOING,1,249392.5559,5914,5914,M,N,152,42.16986065,Continuing
146,131516,00:00.0,SIP,CHEQUE,ONGOING,1,3329.8028,29301,29301,M,N,141,0.113641268,Continuing
147,131518,00:00.0,SIP,CHEQUE,ONGOING,4,291524.7785,201443,50360,M,N,151,5.788816094,Continuing
148,131519,00:00.0,LUMSUM,CHEQUE,NFO,3,467924.2816,4200,1400,F,N,423,334.2316297,Continuing
149,131520,00:00.0,SIP,CHEQUE,ONGOING,4,772031.7813,322734,80683,M,Y,423,9.568704452,Completed
150,131521,00:00.0,SIP,CHEQUE,ONGOING,2,290966.5656,178953,89476,M,N,151,3.251895096,Completed
151,131578,00:00.0,SIP,CHEQUE,ONGOING,1,287846.5143,172801,172801,M,N,322,1.665768799,Completed
152,131580,00:00.0,SIP,CHEQUE,ONGOING,1,103277.0962,174610,174610,M,N,151,0.591472975,Completed
153,131581,00:00.0,LUMSUM,CHEQUE,ONGOING,30,22333.861,127912,4263,M,N,151,5.239000938,Continuing
154,131582,00:00.0,LUMSUM,CHEQUE,NFO,4,2693185.133,280770,70192,M,Y,425,38.3688331,Completed
155,131584,00:00.0,LUMSUM,CHEQUE,ONGOING,4,1076676.458,4219,1054,M,N,355,1021.514666,Continuing
156,131586,00:00.0,SIP,CHEQUE,ONGOING,1,1177.6438,48873,48873,F,N,121,0.024096,Continuing
157,131589,00:00.0,SIP,CHEQUE,ONGOING,5,1296468.067,427016,85403,F,Y,122,15.18059163,Completed
158,131591,00:00.0,SIP,CHEQUE,ONGOING,1,2051.2548,174412,174412,M,N,121,0.011760973,Completed
159,131592,00:00.0,SIP,CHEQUE,ONGOING,1,3245.2025,10620,10620,M,N,151,0.305574623,Continuing
160,131596,00:00.0,SIP,CHEQUE,ONGOING,2,252368.478,317126,158563,M,N,543,1.591597523,Completed
161,131601,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,2,362086.0703,163907,81953,M,Y,322,4.418216176,Completed
162,131604,00:00.0,SIP,CHEQUE,ONGOING,3,91162.8659,62326,20775,M,Y,111,4.388104255,Continuing
163,131606,00:00.0,SIP,CHEQUE,ONGOING,1,12190.0387,42571,42571,M,N,151,0.286346074,Continuing
164,131608,00:00.0,SIP,CHEQUE,ONGOING,1,524094.9014,172592,172592,F,N,151,3.036611786,Completed
165,131609,00:00.0,SIP,CHEQUE,ONGOING,10,1282380.535,463783,46378,M,N,152,27.65062174,Continuing
166,131613,00:00.0,SIP,CHEQUE,ONGOING,2,1650305.62,47281,23640,M,Y,224,69.80988238,Continuing
167,131616,00:00.0,SIP,CHEQUE,ONGOING,4,946247.5039,631891,157972,M,Y,421,5.989969766,Completed
168,131617,00:00.0,LUMSUM,CHEQUE,ONGOING,8,453098.9675,63096,7887,M,Y,152,57.44883574,Continuing
169,131620,00:00.0,SIP,CHEQUE,ONGOING,1,2426.7392,81911,81911,M,Y,454,0.029626536,Completed
170,131621,00:00.0,SIP,CHEQUE,ONGOING,1,190530.1645,177813,177813,M,N,151,1.07151988,Completed
171,131626,00:00.0,SIP,CHEQUE,ONGOING,2,860692.8989,315556,157778,M,Y,424,5.455088155,Completed
172,131627,00:00.0,SIP,CHEQUE,ONGOING,2,601208.769,254908,127454,M,N,151,4.717064737,Completed
173,131628,00:00.0,LUMSUM,CHEQUE,ONGOING,3,1480254.301,509667,169889,M,Y,111,8.713067359,Completed
174,131629,00:00.0,SIP,CHEQUE,ONGOING,2,347199.9832,288340,144170,F,Y,422,2.4082679,Completed
175,131645,00:00.0,SIP,CHEQUE,ONGOING,1,2864.3265,33110,33110,M,Y,132,0.086509408,Continuing
176,131646,00:00.0,SIP,CHEQUE,ONGOING,2,283797.2084,342661,171330,M,Y,522,1.656436166,Completed
177,131647,00:00.0,SIP,CHEQUE,ONGOING,2,13406.2754,24276,12138,M,Y,132,1.104488005,Continuing
178,131648,00:00.0,SIP,CHEQUE,ONGOING,2,21301.1368,216084,108042,M,N,141,0.197156076,Completed
179,156814,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,1,4376.8568,11285,11285,M,N,151,0.387847302,Continuing
180,150284,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,3,4563.1558,84711,28237,M,N,141,0.161602004,Continuing
181,123834,00:00.0,SIP,CHEQUE,ONGOING,2,326550.8427,308005,154002,M,Y,324,2.120432479,Completed
182,132317,00:00.0,LUMSUM,CHEQUE,ONGOING,4,955092.4126,562420,140605,F,Y,525,6.792734345,Completed
183,68079,00:00.0,LUMSUM,CHEQUE,NFO,1,34672.7185,69403,69403,M,Y,523,0.499585299,Completed
184,17061,00:00.0,LUMSUM,CHEQUE,NFO,31,866702.8137,346937,11191,M,Y,522,77.44641352,Continuing
185,29471,00:00.0,LUMSUM,CHEQUE,NFO,7,3062747.533,3316730,473818,M,Y,515,6.463974633,Completed
186,38288,00:00.0,SIP,CHEQUE,ONGOING,2,9017.2831,340319,170159,M,N,111,0.052993277,Completed
187,99046,00:00.0,SIP,CHEQUE,ONGOING,5,421514.7027,159408,31881,F,N,151,13.22150192,Continuing
188,38864,00:00.0,SIP,CHEQUE,ONGOING,21,1366790.508,1533279,73013,M,Y,523,18.71982398,Completed
189,46007,00:00.0,LUMSUM,CHEQUE,ONGOING,7,6887172.863,119900,17128,M,Y,154,402.1002372,Continuing
190,131649,00:00.0,SIP,CHEQUE,ONGOING,15,96661.2904,689916,45994,M,Y,523,2.101606523,Continuing
191,82918,1899-12-30 00:00:00.000,LUMSUM,CHEQUE,NFO,7,1393739.784,147543,21077,M,Y,125,66.12609879,Continuing
192,10769,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,3,65145.2987,861476,287158,M,N,151,0.226862211,Completed
193,123293,00:00.0,SIP,CHEQUE,ONGOING,9,283517.4729,530972,58996,M,Y,313,4.805706707,Continuing
194,29156,00:00.0,SIP,CHEQUE,ONGOING,1,28671.3489,1722,1722,M,Y,523,16.6500284,Continuing
195,64339,00:00.0,SIP,CHEQUE,NFO,3,665204.8869,428112,142704,F,N,151,4.661431263,Completed
196,131557,00:00.0,SIP,CHEQUE,ONGOING,2,177183.6419,4311,2155,M,N,152,82.21978742,Continuing
197,131558,00:00.0,SIP,CHEQUE,ONGOING,1,2228.6677,284,284,M,N,131,7.847421479,Continuing
198,131560,00:00.0,SIP,CHEQUE,ONGOING,3,345900.5955,293629,97876,F,N,111,3.534069593,Completed
199,131561,00:00.0,SIP,CHEQUE,ONGOING,1,147738.0429,172912,172912,M,N,151,0.854411741,Completed
200,131562,00:00.0,SIP,CHEQUE,ONGOING,1,7400.5569,32620,32620,M,N,151,0.226871763,Continuing
201,131563,00:00.0,SIP,CHEQUE,ONGOING,1,145665.7357,169893,169893,F,N,151,0.857396925,Completed
202,131564,00:00.0,LUMSUM,CHEQUE,NFO,1,25621.695,8200,8200,F,Y,422,3.124596951,Continuing
203,131566,00:00.0,SIP,CHEQUE,ONGOING,10,477372.8008,423366,42336,F,Y,323,11.27581257,Continuing
204,131567,00:00.0,SIP,CHEQUE,ONGOING,1,60048.2281,169714,169714,M,Y,533,0.353820121,Completed
205,131569,00:00.0,SIP,CHEQUE,ONGOING,1,677479.0138,176336,176336,F,N,151,3.841977893,Completed
206,131573,00:00.0,SIP,CHEQUE,ONGOING,4,969189.8007,850457,212614,M,Y,545,4.558447707,Completed
207,131574,00:00.0,SIP,CHEQUE,ONGOING,1,225459.155,150722,150722,M,Y,542,1.495860956,Completed
208,131575,00:00.0,SIP,CHEQUE,ONGOING,3,526596.0774,329567,109855,M,Y,222,4.793555845,Completed
209,131577,00:00.0,SIP,CHEQUE,ONGOING,9,790213.9015,488841,54315,M,N,151,14.54872322,Continuing
210,131665,00:00.0,SIP,CHEQUE,ONGOING,1,8768.616,2573,2573,M,Y,121,3.407934707,Continuing
211,131666,00:00.0,LUMSUM,CHEQUE,ONGOING,1,73661.5508,16100,16100,F,N,151,4.575251602,Continuing
212,131668,00:00.0,SIP,CHEQUE,ONGOING,2,11612.1149,91315,45657,F,Y,521,0.254333725,Continuing
213,131669,00:00.0,SIP,CHEQUE,ONGOING,1,5855.7648,160300,160300,M,N,121,0.036530036,Completed
214,131670,00:00.0,SIP,CHEQUE,ONGOING,1,4695.5076,22927,22927,F,Y,425,0.20480253,Continuing
215,134395,00:00.0,SIP,CHEQUE,ONGOING,8,21579.9694,755451,94431,F,Y,555,0.228526325,Completed
216,131687,00:00.0,SIP,CHEQUE,ONGOING,1,9916.2923,5107,5107,M,N,151,1.941705953,Continuing
217,222799,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,10,5593882.551,1116851,111685,F,Y,152,50.08624749,Completed
218,131688,00:00.0,SIP,CHEQUE,ONGOING,3,302647.2661,48013,16004,M,Y,424,18.91072645,Continuing
219,131690,00:00.0,SIP,CHEQUE,ONGOING,1,273847.8538,172672,172672,M,N,151,1.585942445,Completed
220,131692,00:00.0,SIP,CHEQUE,ONGOING,1,8750.4621,3113,3113,F,N,151,2.810941889,Continuing
221,131697,00:00.0,LUMSUM,CHEQUE,NFO,17,3827189.505,1041440,61261,F,Y,524,62.47350688,Continuing
222,131698,00:00.0,SIP,CHEQUE,ONGOING,1,19175.7637,9245,9245,M,Y,533,2.074176712,Continuing
223,131700,00:00.0,SIP,CHEQUE,ONGOING,5,3719071.432,685845,137169,M,Y,545,27.11306076,Completed
224,131702,00:00.0,SIP,CHEQUE,ONGOING,1,4307.002,1352,1352,F,N,422,3.185652367,Continuing
225,131703,00:00.0,SIP,CHEQUE,NFO,1,8485.2524,2510,2510,M,N,111,3.380578645,Continuing
226,131710,00:00.0,SIP,CHEQUE,NFO,1,377651.8512,103551,103551,M,N,222,3.647013078,Completed
227,131711,00:00.0,SIP,CHEQUE,ONGOING,2,528646.018,348601,174300,M,N,151,3.032966254,Completed
228,131712,00:00.0,SIP,CHEQUE,ONGOING,1,5567.5058,60334,60334,M,N,131,0.092278082,Continuing
229,131713,00:00.0,SIP,CHEQUE,ONGOING,2,2250.7491,212372,106186,M,Y,131,0.021196289,Completed
230,131714,00:00.0,SIP,CHEQUE,ONGOING,1,7627.7884,131710,131710,M,N,131,0.05791351,Completed
